learning_rate, optimizer, filter_size, epochs, loss, accuracy
1e-4,p,12,3,1.0310,0.7222
1e-4,p,12,3,0.7698,0.7954
1e-4,p,24,3,0.4933,0.8538
1e-4,p,24,3,0.5163,0.8547
1e-4,c,12,3,0.9127,0.7414
1e-4,c,12,3,0.8485,0.7629
1e-4,c,24,3,0.4900,0.8570
1e-4,c,24,3,0.5202,0.8490
1e-4,m,12,3,0.7458,0.7937
1e-4,m,12,3,0.7727,0.7797
1e-4,m,24,3,0.5124,0.8515
1e-4,m,24,3,0.5025,0.8652
1e-3,p,12,3,0.2970,0.9216
1e-3,p,12,3,0.2414,0.9290
1e-3,p,24,3,0.2028,0.9438
1e-3,p,24,3,0.2425,0.9460
1e-3,c,12,3,0.2623,0.9321
1e-3,c,12,3,0.2020,0.9381
1e-3,c,24,3,0.2052,0.9408
1e-3,c,24,3,0.2444,0.9350
1e-3,m,12,3,0.2914,0.9155
1e-3,m,12,3,0.2110,0.9367
1e-3,m,24,3,0.1765,0.9552
1e-3,m,24,3,0.2414,0.9314
1e-2,p,12,3,0.9435,0.8015
1e-2,p,12,3,1.3861,0.6490
1e-2,p,24,3,1.3423,0.6700
1e-2,p,24,3,4.7714,0.0159
1e-2,c,12,3,1.0328,0.7580
1e-2,c,12,3,1.1377,0.7487
1e-2,c,24,3,4.7715,0.0159
1e-2,c,24,3,4.7714,0.0159
1e-2,m,12,3,4.7714,0.0159
1e-2,m,12,3,0.7927,0.7923
1e-2,m,24,3,1.5024,0.6394
1e-2,m,24,3,4.7717,0.0159
1e-4,p,36,3,0.4531,0.8594
1e-4,p,36,3,0.4498,0.8725
1e-4,p,48,3,0.3829,0.8885
1e-4,p,48,3,0.3626,0.9021
1e-4,c,36,3,0.4585,0.8672
1e-4,c,36,3,0.4124,0.8799
1e-4,c,48,3,0.4262,0.8698
1e-4,c,48,3,0.3079,0.9070
1e-4,m,36,3,0.4042,0.8875
1e-4,m,36,3,0.4242,0.8810
1e-4,m,48,3,0.3569,0.8869
1e-4,m,48,3,0.3163,0.8980
1e-3,p,36,3,0.1941,0.9454
1e-3,p,36,3,0.1313,0.9602
1e-3,p,48,3,0.3073,0.9119
1e-3,p,48,3,0.3785,0.9109
1e-3,c,36,3,0.2389,0.9274
1e-3,c,36,3,0.1785,0.9518
1e-3,c,48,3,0.1304,0.9583
1e-3,c,48,3,0.2096,0.9429
1e-3,m,36,3,0.1919,0.9472
1e-3,m,36,3,0.2154,0.9499
1e-3,m,48,3,0.1360,0.9677
1e-3,m,48,3,0.1623,0.9645
1e-2,p,36,3,1.1119,0.7569
1e-2,p,36,3,1.0874,0.7569
1e-2,p,48,3,4.7712,0.0159
1e-2,p,48,3,1.3153,0.7017
1e-2,c,36,3,1.1753,0.7632
1e-2,c,36,3,4.7712,0.0159
1e-2,c,48,3,0.8235,0.7986
1e-2,c,48,3,4.7712,0.0159
1e-2,m,36,3,0.9182,0.8086
1e-2,m,36,3,4.7716,0.0159
1e-2,m,48,3,1.3087,0.7031
1e-2,m,48,3,4.7713,0.0159
5e-3,p,12,3,0.7944,0.8500
5e-3,p,12,3,0.3906,0.9117
5e-3,p,24,3,0.4725,0.9047
5e-3,p,24,3,0.4654,0.8949
5e-3,p,36,3,0.2679,0.9417
5e-3,p,36,3,0.4727,0.8931
5e-3,p,48,3,0.8286,0.8516
5e-3,p,48,3,0.4290,0.9034
5e-3,c,12,3,0.7819,0.8417
5e-3,c,12,3,0.4858,0.8983
5e-3,c,24,3,0.5068,0.8908
5e-3,c,24,3,0.5243,0.8879
5e-3,c,36,3,0.5052,0.8968
5e-3,c,36,3,0.4992,0.8923
5e-3,c,48,3,0.3939,0.9081
5e-3,c,48,3,0.5534,0.8830
5e-3,m,12,3,0.8852,0.8096
5e-3,m,12,3,0.5388,0.8677
5e-3,m,24,3,0.6671,0.8653
5e-3,m,24,3,0.4250,0.9063
5e-3,m,36,3,0.6333,0.8925
5e-3,m,36,3,0.4447,0.9207
5e-3,m,48,3,0.6737,0.8551
5e-3,m,48,3,0.4310,0.9194
5e-4,p,12,3,0.4022,0.8871
5e-4,p,12,3,0.5478,0.8453
5e-4,p,24,3,0.2658,0.9266
5e-4,p,24,3,0.1778,0.9473
5e-4,p,36,3,0.3533,0.9116
5e-4,p,36,3,0.1847,0.9393
5e-4,p,48,3,0.1989,0.9472
5e-4,p,48,3,0.2381,0.9359
5e-4,c,12,3,0.3678,0.8896
5e-4,c,12,3,0.2614,0.9174
5e-4,c,24,3,0.2107,0.9365
5e-4,c,24,3,0.1927,0.9378
5e-4,c,36,3,0.2222,0.9327
5e-4,c,36,3,0.2317,0.9375
5e-4,c,48,3,0.1597,0.9508
5e-4,c,48,3,0.2190,0.9419
5e-4,m,12,3,0.3040,0.9096
5e-4,m,12,3,0.3243,0.9010
5e-4,m,24,3,0.2277,0.9351
5e-4,m,24,3,0.1984,0.9389
5e-4,m,36,3,0.2486,0.9288
5e-4,m,36,3,0.2101,0.9338
5e-4,m,48,3,0.2044,0.9383
5e-4,m,48,3,0.1526,0.9568
